SÄMIKIELÂ UUCÂMSÄÄNI	SUOMI	SAAMEN_HAK	SUOMEN_HAK		SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L	
áhtánâs       	häävi  	áhtánâs	häävi							
áhtánâs       	kaksinen  	áhtánâs	kaksinen							
áhukuobâr  -kuob'bâr     	akansieni  Macrolepiota rhacodes	áhu	akan		kuobâr	sieni	-kuob'bâr		Macrolepiota rhacodes	
áhupiddo  -pido     	härkäsimppu  Myoxocephalus quadricornis	áhu	härkä		piddo	simppu	-pido		Myoxocephalus quadricornis	
ai       	hoi  	ai	hoi							
a'ibâšem       	kaipaus  	a'ibâšem	kaipaus							
a'ibâšiđ  aaibâš     	ikävöidä  	a'ibâšiđ	ikävöidä				aaibâš			
a'ibâšiđ  aaibâš     	kaivata  	a'ibâšiđ	kaivata				aaibâš			
aicâdem       	havainnointi  	aicâdem	havainnointi							
aicâdiđ       	havainnoida  	aicâdiđ	havainnoida							
aicâlmâs       	havainnollinen  	aicâlmâs	havainnollinen							
aicâlmištiđ       	havainnollistaa  	aicâlmištiđ	havainnollistaa							
aicâstâh  aicâstuv     	havainto  (erit. aisteihin perustuva)	aicâstâh	havainto				aicâstuv		(erit. aisteihin perustuva)	
aiccâ  aaicâ     	aisti  	aiccâ	aisti				aaicâ			
aiccâčyegis  -čuág'gá     	aistipiste  	aiccâ	aisti		čyegis	piste	-čuág'gá			
aiccâđ  aaicâm áiccá     	aistia  	aiccâđ	aistia				aaicâm áiccá			
aiccâđ  aaicâm áiccá     	havaita  	aiccâđ	havaita				aaicâm áiccá			
aiccâmâš       	aistimus  	aiccâmâš	aistimus							
aiccâmorgaan       	aistinelin  	aiccâm	aistin		orgaan	elin				
aiccâmuš       	aistimus  	aiccâmuš	aistimus							
áiccu  ááicu     	aisti  	áiccu	aisti				ááicu			
áiccuseeMi  -seemi     	aistiharha  	áiccu	aisti		seeMi	harha	-seemi			
áiculâš  áiculii     	aistillinen  	áiculâš	aistillinen				áiculii			
áiđuđ  ááiđum     	aitoa  (urh.)	áiđuđ	aitoa				ááiđum		(urh.)	
áiđuđ  ááiđum     	aidata  	áiđuđ	aidata				ááiđum			
áigáá       	aikaa sitten  	áigáá	aikaa 			sitten				
áigádâh  áigáduv     	ajanjakso  	áigádâh	ajan			jakso	áigáduv			
áigádâh  áigáduv     	jakso  (ajasta)	áigádâh	jakso				áigáduv		(ajasta)	
áigádeijee       	ajastin  	áigádeijee	ajastin							
áigádiđ  ááigád     	ajastaa  (esim. digiboksia)	áigádiđ	ajastaa				ááigád		(esim. digiboksia)	
á'igálâš  á'igálii     	ajallinen  	á'igálâš	ajallinen				á'igálii			
á'igálâš  á'igálii     	aikalainen  	á'igálâš	aikalainen				á'igálii			
áigápuátu  -puáđu ~ -puáđo     	saavutus  	áigá	saavutus		puátu		-puáđu ~ -puáđo			
áigápuátu  -puáđu ~ -puáđo     	saavutus  	áigá	saavutus		puátu		-puáđu ~ -puáđo			
áigápuátu  -puáđu ~ -puáđo     	toimeentulo  	áigá	toimeen		puátu	tulo	-puáđu ~ -puáđo			
áigápuátu  -puáđu ~ -puáđo     	elanto  	áigá	elanto		puátu		-puáđu ~ -puáđo			
áigápuá'tutoorjâ  -torjuu     	toimeentulotuki  	áigá	toimeen		puá'tutoorjâ	tulotuki	-torjuu			
áigápuá'tutorvo  -to'rvo     	toimeentuloturva  	áigá	toimeen		puá'tutorvo	tuloturva	-to'rvo			
-áigásâš  -áigásii     	-aikainen  	-áigásâš	-aikainen				-áigásii			
áigáuážžuđ       	saada aikaiseksi  	áigá	saada 		uážžuđ	aikaiseksi				
áiguđ  ááigum     	aikoa  	áiguđ	aikoa				ááigum			
áiguđ  ááigum     	päättää  	áiguđ	päättää				ááigum			
áigumuš       	aikomus  	áigumuš	aikomus							
áijáá  # -s     	aikaavievä  	áijáá	aikaa			vievä	# -s			
áijuh  áijuv     	lapsenlapsi  (isoisälle)	áijuh	lapsen			lapsi	áijuv		(isoisälle)	
aikkâ  aaihâ     	aihkimänty  	aikkâ	aihki			mänty	aaihâ			
aikkâ  aaihâ     	petäjä  (iso, oksainen kelottuva, mutta vielä elossa)	aikkâ	petäjä				aaihâ		(iso, oksainen kelottuva, mutta vielä elossa)	
aikkâ  aaihâ     	mänty  (iso, oksainen kelottuva, mutta vielä elossa)	aikkâ	mänty				aaihâ		(iso, oksainen kelottuva, mutta vielä elossa)	
aikkâvyev'di  -vyevdi     	männikkö  (vanhoja puita kasvava)	aikkâ	männikkö		vyev'di		-vyevdi		(vanhoja puita kasvava)	
a'imâkkâššâđ  a'imâkkâšâm     	huolehtia  	a'imâkkâššâđ	huolehtia				a'imâkkâšâm			
a'imâkkâššâđ  a'imâkkâšâm     	korjata  talteen	a'imâkkâššâđ	korjata				a'imâkkâšâm		talteen	
a'imâsjieŊâ  -jieŋâ     	kevätjää  (musta, löyhä)	a'imâs	kevät		jieŊâ	jää	-jieŋâ		(musta, löyhä)	
áimu  ááimu     	ilma  	áimu	ilma				ááimu			
áimu  ááimu     	tallellaolo  	áimu	tallella			olo	ááimu			
áimu  ááimu     	olemassaolo  	áimu	olemassa			olo	ááimu			
áimučavos  -čappoos     	ilmatiivis  	áimu	ilma		čavos	tiivis	-čappoos			
áimudiđ  áimud     	saada  toimeksi	áimudiđ	saada				áimud		toimeksi	
áimujotolâh  -jotoluv     	ilmailu  	áimu	ilmailu		jotolâh		-jotoluv			
áimukerdi  -keerdi     	ilmakehä  	áimu	ilma		kerdi	kehä	-keerdi			
áimukiiváár  -kivváár     	ilmakivääri  	áimu	ilma		kiiváár	kivääri	-kivváár			
áimukiiveer  -kivveer     	ilmakivääri  	áimu	ilma		kiiveer	kivääri	-kivveer			
áimukoVe  -kove     	ilmakuva  	áimu	ilma		koVe	kuva	-kove			
áimukuád'dákäärbis  -kárbá     	ilmatyynyalus  	áimu	ilma		kuád'dákäärbis	tyynyalus	-kárbá			
áimukuškâdem       	ilmakuivatus  	áimu	ilma		kuškâdem	kuivatus				
áimukuškim       	ilmakuivatus  	áimu	ilma		kuškim	kuivatus				
áimukuvvim       	ilmakuvaus  	áimu	ilma		kuvvim	kuvaus				
áimulahtâdeijee       	ilmankostutin  	áimu	ilman		lahtâdeijee	kostutin				
áimulahtâdijjee       	ilmankostutin  	áimu	ilman		lahtâdijjee	kostutin				
áimulanne  -laNe     	pilvilinna  	áimu	pilvi		lanne	linna	-laNe			
áimuluáMi  -luámi     	ilmarako  	áimu	ilma		luáMi	rako	-luámi			
áimumolsom       	ilmanvaihto  	áimu	ilman		molsom	vaihto				
áimumolsoo       	tuuletin  (ilmaa vaihtava t. suodattava)	áimu	tuuletin		molsoo				(ilmaa vaihtava t. suodattava)	
áimunovdâ  -noovdâ     	ilmavarsi  	áimu	ilma		novdâ	varsi	-noovdâ			
áimupállu  -pááLu     	ilmapallo  	áimu	ilma		pállu	pallo	-pááLu			
áimupismár       	ilmapuntari  	áimu	ilma		pismár	puntari				
áimupoccee       	ilmaputki  	áimu	ilma		poccee	putki				
áimupostâ  -poostâ     	lentoposti  	áimu	lento		postâ	posti	-poostâ			
á'imustittem       	ilmastointi  	á'imustittem	ilmastointi							
á'imustittiđ  á'imustitám     	ilmastoida  	á'imustittiđ	ilmastoida				á'imustitám			
áimusuo'Jâlâs       	ilmapuolustus  	áimu	ilma		suo'Jâlâs	puolustus				
áimusuo'Jâlus       	ilmapuolustus  	áimu	ilma		suo'Jâlus	puolustus				
áimuteedâ  -tedduu     	ilmanpaine  	áimu	ilman		teedâ	paine	-tedduu			
áimutieđâ  -tiet'tuu     	ilmatiede  	áimu	ilma		tieđâ	tiede	-tiet'tuu			
áimuvirde  -vi'rde     	ilmavirta  	áimu	ilma		virde	virta	-vi'rde			
áimuvirde  -vi'rde     	ilmavirtaus  	áimu	ilma		virde	virtaus	-vi'rde			
áimuvuá'stáldâs       	ilmanvastus  	áimu	ilman		vuá'stáldâs	vastus				
áimuvyeimih       	ilmavoimat  	áimu	ilma		vyeimih	voimat				
ain       	aina  	ain	aina							
ain       	kulloinkin  	ain	kulloinkin							
ain       	yhä  	ain	yhä							
ain       	edelleen  	ain	edelleen							
ainanneem-       	arki-  (esim. pukine)	ain	arki-		anneem-				(esim. pukine)	
ainanneem-       	jokapäiväinen  (esim. pukine t. muu käyttötavara)	ain	joka		anneem-	päiväinen			(esim. pukine t. muu käyttötavara)	
ainiđ  äinee     	sataa  ohuelti lunta, tav. ensilumi mustaan maahan	ainiđ	sataa				äinee		ohuelti lunta, tav. ensilumi mustaan maahan	
áinoo       	ainoa  	áinoo	ainoa							
áinoo       	ainut  	áinoo	ainut							
áinookiär'dásâš  -kiär'dásii     	ainutkertainen  	áinoo	ainut		kiär'dásâš	kertainen	-kiär'dásii			
áinoošlaJâsâš  -šlâJâsii     	ainutlaatuinen  	áinoo	ainut		šlaJâsâš	laatuinen	-šlâJâsii			
áinoošlaJâsâšvuotâ  -vuođâ     	ainutlaatuisuus  	áinoo	ainut		šlaJâsâšvuotâ	laatuisuus	-vuođâ			
ainruonâs       	ikivihreä  	ain	iki		ruonâs	vihreä				
ain-uv       	kuitenkin  	ain-uv	kuitenkin							
ain-uv       	yhä vieläkin  	ain-uv	yhä 			vieläkin				
ain-uv       	edelleen  	ain-uv	edelleen							
a'irâskodde  -kode     	valtuuskunta  	a'irâs	valtuus		kodde	kunta	-kode			
áiru  ááiru     	airo  	áiru	airo				ááiru			
áirulâš  áirulii     	soutaja  	áirulâš	soutaja				áirulii			
áisá  ááisá     	aisa  	áisá	aisa				ááisá			
a'itârdâs       	huolto  	a'itârdâs	huolto							
a'itârdâsânväldim       	huostaanotto  	a'itârdâsân	huostaan		väldim	otto				
a'itârdeijee       	huoltaja  	a'itârdeijee	huoltaja							
a'itârdiđ  a'itârdâm     	huolehtia  	a'itârdiđ	huolehtia				a'itârdâm			
a'itârdiđ  a'itârdâm     	pitää  huolta	a'itârdiđ	pitää				a'itârdâm		huolta	
a'itârtipšo   -ti'pšo     	vierihoito  	a'itâr	vieri		tipšo	hoito	 -ti'pšo			
aittâlâstiđ  aittâlâst     	enteillä  säätä	aittâlâstiđ	enteillä				aittâlâst		säätä	
aittâlâstiđ  aittâlâst     	olla enteenä  (huonolle) säälle (taivaan valoilmiöstä, esim. kuun t. auringon sapesta, revontulista)	aittâlâstiđ	olla 			enteenä	aittâlâst		(huonolle) säälle (taivaan valoilmiöstä, esim. kuun t. auringon sapesta, revontulista)	
ajâhaamiträäSi~-rääsi  -rääsi     	harvahammaspoimulehti  Alchemilla borealis	ajâ	harva		haamiträäSi~-rääsi	hammaspoimulehti	-rääsi		Alchemilla borealis	
ajâiilâsk       	lähdetähtimö  Stellaria alsine	ajâ	lähde		iilâsk	tähtimö			Stellaria alsine	
ajâkollerääSi~-rääsi  -rääsi     	purorentukka  Caltha palustris ssp. radicans	ajâ	puro		kollerääSi~-rääsi	rentukka	-rääsi		Caltha palustris ssp. radicans	
ájánâddâđ  ájánâd     	viipyä  	ájánâddâđ	viipyä				ájánâd			
ajânartte  -na'rte     	purorikko  Saxifraga rivularis	ajâ	puro		nartte	rikko	-na'rte		Saxifraga rivularis	
ájánem       	viive  	ájánem	viive							
ájánem       	viivytys  	ájánem	viivytys							
ájánem       	viipymä  	ájánem	viipymä							
áJániđ  ááiján~ááijân     	viipyä  	áJániđ	viipyä				ááiján~ááijân			
ájánistiđ  ájánistám     	viivähtää  	ájánistiđ	viivähtää				ájánistám			
ajâsuor'mâkuáti  -kuáđi ~ -kuá'đe     	purolitukka  Cardamine amara	ajâ	puro		suor'mâkuáti	litukka	-kuáđi ~ -kuá'đe		Cardamine amara	
ájáttâlhánnáá       	viipymättä  	ájáttâlhánnáá	viipymättä							
ájáttâllâđ       	hidastella  	ájáttâllâđ	hidastella							
ájáttâllâđ       	viivytellä  	ájáttâllâđ	viivytellä							
ájáttâllâm       	hidastelu  	ájáttâllâm	hidastelu							
ájáttâllâm       	viivyttely  	ájáttâllâm	viivyttely							
ájáttâs       	ajankulu  (viivyttävä)	ájáttâs	ajan			kulu			(viivyttävä)	
akateemisâš  akateemisii     	akateeminen  	akateemisâš	akateeminen				akateemisii			
ákku  ááhu     	eukko  	ákku	eukko				ááhu			
ákku  ááhu     	isoäiti  	ákku	iso			äiti	ááhu			
ákku  ááhu     	mummo  	ákku	mummo				ááhu			
akku  aaku     	akku  	akku	akku				aaku			
ákku já äijih       	isovanhemmat  	ákku 	iso		já äijih	vanhemmat				
akkulyeđejeijee       	akkulaturi  	akku	akku		lyeđejeijee	laturi				
ákkuv       	lapsenlapsi  (isoäidille)	ákkuv	lapsen			lapsi			(isoäidille)	
ákkuváš  ákkuváá     	isoäiti  lapsenlapsensa t. -lastensa kanssa	ákkuváš	iso			äiti	ákkuváá		lapsenlapsensa t. -lastensa kanssa	
akleija       	lehtoakileija  Aquilegia vulgaris	akleija	lehto			akileija			Aquilegia vulgaris	
aksel       	akseli  	aksel	akseli							
akselkoskâ  -kooskâ     	akseliväli  	aksel	akseli		koskâ	väli	-kooskâ			
akseltiäd'du  -tiädu     	akselipaino  	aksel	akseli		tiäd'du	paino	-tiädu			
ákšu  áákšu     	kirves  	ákšu	kirves				áákšu			
ákšua'lmai  -almaa     	kirvesmies  	ákšu	kirves		a'lmai	mies	-almaa			
aktiivlâš  aktiivlii     	aktiivinen  	aktiivlâš	aktiivinen				aktiivlii			
aktiivlâš  aktiivlii     	vireä  	aktiivlâš	vireä				aktiivlii			
aktijvâlâš  aktijvâlii     	aktiivinen  	aktijvâlâš	aktiivinen				aktijvâlii			
aktivistiđ       	aktivoida  	aktivistiđ	aktivoida							
akustiik       	akustiikka  	akustiik	akustiikka							
aLadâs       	koroke  	aLadâs	koroke							
aladâs       	korotus  	aladâs	korotus							
aLanâddâđ  aLanâd     	kohoilla  	aLanâddâđ	kohoilla				aLanâd			
aLaniđ  allaan     	kohota  	aLaniđ	kohota				allaan			
aLaniđ  allaan     	nousta  	aLaniđ	nousta				allaan			
aLaniđ  allaan     	yletä  	aLaniđ	yletä				allaan			
a'lda       	lähellä  	a'lda	lähellä							
a'lda       	läheltä  	a'lda	läheltä							
a'lda-       	lähi-  	a'lda-	lähi-							
aldaaš       	lähellä  oleva	aldaaš	lähellä						oleva	
aldaaš       	lähi-  	aldaaš	lähi-							
a'ldačujottâs       	lähiosoite  	a'lda	lähi		čujottâs	osoite				
a'ldadâllâđ  a'ldadâlâm     	lähennellä  	a'ldadâllâđ	lähennellä				a'ldadâlâm			
aldâgâs       	salama  	aldâgâs	salama							
a'ldahyel'kki  -hyelhi     	lähisukulainen  	a'lda	lähi		hyel'kki	sukulainen	-hyelhi			
aldaluVâi       	lähekkäin  	aldaluVâi	lähekkäin							
aldaniđ       	lähestyä  	aldaniđ	lähestyä							
aldaniđ       	lähetä  	aldaniđ	lähetä							
a'ldaolmooš  -ulmuu     	läheinen  (subst.)	a'lda	läheinen		olmooš		-ulmuu		(subst.)	
aldasáid       	lähes  	aldasáid	lähes							
aldasáid       	lähettyville  	aldasáid	lähettyville							
aldasâš  aldasii     	läheinen  	aldasâš	läheinen				aldasii			
aldasijn       	lähistöllä  	aldasijn	lähistöllä							
aldasijn       	lähistöltä  	aldasijn	lähistöltä							
a'ldatipšoo       	lähihoitaja  	a'lda	lähi		tipšoo	hoitaja				
a'ldauái'nee       	likinäköinen  	a'lda	liki		uái'nee	näköinen				
a'ldauái'nil  # -is     	likinäköinen  	a'lda	liki		uái'nil	näköinen	# -is			
a'ldavuotâ  a'ldavuođâ     	läheisyys  	a'ldavuotâ	läheisyys				a'ldavuođâ			
a'ldediđ  aldeed     	lähentää  	a'ldediđ	lähentää				aldeed			
aldeláá       	lähemmäs  	aldeláá	lähemmäs							
aldeláhháá       	lähemmäs  (vähän)	aldeláhháá	lähemmäs						(vähän)	
a'ldemuš  a'ldemuu     	lähin  	a'ldemuš	lähin				a'ldemuu			
a'ldemuš  a'ldemuu     	lähimmäinen  (adj.)	a'ldemuš	lähimmäinen				a'ldemuu		(adj.)	
a'ldemust       	lähinnä  (enimmäkseen)	a'ldemust	lähinnä						(enimmäkseen)	
a'ldemustáá       	lähinnä  (enimmäkseen)	a'ldemustáá	lähinnä						(enimmäkseen)	
áldu  ááldu     	porolehmä  	áldu	poro			lehmä	ááldu			
áldu  ááldu     	vaadin  	áldu	vaadin				ááldu			
álduduh~áldudoh~áldudâh  álduduv     	vaatimennahka  	álduduh~áldudoh~áldudâh	vaatimen			nahka	álduduv			
áldupaččee       	vaatimenlypsäjä  	áldu	vaatimen		paččee	lypsäjä				
aledem       	korotus  	aledem	korotus							
alediđ       	korottaa  (m. matem.)	alediđ	korottaa						(m. matem.)	
alediđ       	ylentää  	alediđ	ylentää							
aleláá       	ylemmäs  	aleláá	ylemmäs							
aleláhháá       	ylemmäs  (vähän)	aleláhháá	ylemmäs						(vähän)	
alemus  alemuu     	ylin  	alemus	ylin				alemuu			
alemus  alemuu     	korkein  	alemus	korkein				alemuu			
aleskäzzim       	takakaihdin  (takapiikki poron sarven mutkassa)	ales	taka		käzzim	kaihdin			(takapiikki poron sarven mutkassa)	
alfanummeerlâš  -nummeerlii     	alfanumerinen  	alfa	alfa		nummeerlâš	numerinen	-nummeerlii			
algâ-       	alustava  	algâ-	alustava							
algâ  aalgâ     	alkio  	algâ	alkio				aalgâ			
algâ  aalgâ     	alku  	algâ	alku				aalgâ			
algâaalgâst       	alkujaan  	algâ	alkujaan		aalgâst					
algâaalgâst       	alun perin  	algâ	alun 		aalgâst	perin				
algâaalmug       	alkuperäiskansa  	algâ	alku		aalmug	peräiskansa				
algâaamnâs  -amnâs     	alkuaine  	algâ	alku		aamnâs	aine	-amnâs			
algâa'lgâlâš  -a'lgâlii     	alkuperäinen  	algâ	alku		a'lgâlâš	peräinen	-a'lgâlii			
algaaš  algaa     	poikanen  	algaaš	poikanen				algaa			
algâčááitus  -čáittus     	ensiesitys  	algâ	ensi		čááitus	esitys	-čáittus			
algâčuol'mâ  -čuolmâ     	alkio  (sikiön alkuvaihe)	algâ	alkio		čuol'mâ		-čuolmâ		(sikiön alkuvaihe)	
a'lgâdâh  a'lgâduv     	alkio  	a'lgâdâh	alkio				a'lgâduv			
algâellee       	alkueläin  	algâ	alku		ellee	eläin				
algâihe  -iVe     	alkuvuosi  	algâ	alku		ihe	vuosi	-iVe			
algâijjâ  -iijâ     	alkuyö  	algâ	alku		ijjâ	yö	-iijâ			
algâkied'disyei'ni  -syeini     	pohjannurmikka  Poa alpigena	algâ	pohjan		kied'disyei'ni	nurmikka	-syeini		Poa alpigena	
algâkumi       	raakakumi  	algâ	raaka		kumi	kumi				
algâkurssâ  -kuursâ     	alkeiskurssi  	algâ	alkeis		kurssâ	kurssi	-kuursâ			
a'lgâlâš  a'lgâlii     	alkeellinen  	a'lgâlâš	alkeellinen				a'lgâlii			
algâloho  -loVo     	alkuluku  	algâ	alku		loho	luku	-loVo			
algâlostâ  -loostâ     	alkeislehti  	algâ	alkeis		lostâ	lehti	-loostâ			
algâmáttááttâs       	alkeisopetus  	algâ	alkeis		máttááttâs	opetus				
algâoljo  -o'ljo     	raakaöljy  	algâ	raaka		oljo	öljy	-o'ljo			
algâolmooš  -ulmuu     	esi-ihminen  	algâ	esi		olmooš	-ihminen	-ulmuu			
algâolmooš  -ulmuu     	alkuihminen  	algâ	alku		olmooš	ihminen	-ulmuu			
algâopâttâs       	alkeisopetus  	algâ	alkeis		opâttâs	opetus				
algâpeeLi  -pele     	alkupuoli  	algâ	alku		peeLi	puoli	-pele			
algâpittá  -pitá     	alkupala  	algâ	alku		pittá	pala	-pitá			
álgápuáttim       	alkuperä  	álgá	alku		puáttim	perä				
algâpuovtâdâs       	alkutuotanto  	algâ	alku		puovtâdâs	tuotanto				
algâpävkittem       	alkuräjähdys  	algâ	alku		pävkittem	räjähdys				
algâraddalâs       	alkusäe  (tekstissä)	algâ	alku		raddalâs	säe			(tekstissä)	
algâruotâs  -ruot'tâs     	alkeisjuuri  	algâ	alkeis		ruotâs	juuri	-ruot'tâs			
algâryev'di  -ryevdi     	raakarauta  	algâ	raaka		ryev'di	rauta	-ryevdi			
algâsaahâ  -saaVâ     	alustus  	algâ	alustus		saahâ		-saaVâ			
algâsáigu  -sááigu     	alkeisrihma  	algâ	alkeis		sáigu	rihma	-sááigu			
algâšuoŊâ  -šuoŋâ     	alkusäe  (kuultavissa oleva)	algâ	alku		šuoŊâ	säe	-šuoŋâ		(kuultavissa oleva)	
algâsääNi  -sääni     	alkusana  	algâ	alku		sääNi	sana	-sääni			
a'lgâttâs       	aloitus  	a'lgâttâs	aloitus							
a'lgâttâs       	johdanto  	a'lgâttâs	johdanto							
a'lgâttellee       	aloittelija  	a'lgâttellee	aloittelija							
a'lgâttiđ  aalgât     	aloittaa  	a'lgâttiđ	aloittaa				aalgât			
a'lgâttiđ  aalgât     	johdattaa  	a'lgâttiđ	johdattaa				aalgât			
algâ-uáp'pu  -uápu     	alkeet  	algâ	alkeet		-uáp'pu		-uápu			
algâurbe  -u'rbe     	alkeissilmu  	algâ	alkeis		urbe	silmu	-u'rbe			
algâvuolgâ  -vuol'guu     	alkuperä  	algâ	alku		vuolgâ	perä	-vuol'guu			
algâvyev'di  -vyevdi     	aarniometsä  	algâ	aarnio		vyev'di	metsä	-vyevdi			
algâässee       	alkuasukas  	algâ	alku		ässee	asukas				
algepáárnáš  -párnáá     	poikalapsi  	alge	poika		páárnáš	lapsi	-párnáá			
alghuuvsâš  alghuuvsáá     	uunilintu  Phylloscopus trochilus	alghuuvsâš	uuni			lintu	alghuuvsáá		Phylloscopus trochilus	
alghuuvsâš  alghuuvsáá     	pajulintu  Phylloscopus trochilus	alghuuvsâš	paju			lintu	alghuuvsáá		Phylloscopus trochilus	
álgu-       	alustava  	álgu-	alustava							
álgu  áálgu     	alkio  	álgu	alkio				áálgu			
álgu  áálgu     	alku  	álgu	alku				áálgu			
álguáálgust       	alun perin  	álgu	alun 		áálgust	perin				
álguáálgust       	alkujaan  	álgu	alkujaan		áálgust					
álguaalmug       	alkuperäiskansa  	álgu	alku		aalmug	peräiskansa				
álgua'lgâlâš  -a'lgâlii     	alkuperäinen  	álgu	alku		a'lgâlâš	peräinen	-a'lgâlii			
